"year","Austria","Belgium","Denmark","Finland","France","Germany","Italy","Netherlands","Norway","Sweden","Switzerland","UK","12 W. Europe","Ireland","Greece","Portugal","Spain","14 small WEC","30 W. Europe","Australia","N. Zealand","Canada","USA","W. Offshoots","Albania","Bulgaria","Czecho-slovakia","Hungary","Poland","Romania","Yugoslavia","7 E. Europe","Bosnia","Croatia","Macedonia","Slovenia","Serbia/Montenegro/Kosovo","F. Yugoslavia","Czech Rep.","Slovakia","F. Czecho-slovakia","Armenia","Azerbaijan","Belarus","Estonia","Georgia","Kazakhstan","Kyrgyzstan","Latvia","Lithuania","Moldova","Russia","Tajikistan","Turk-menistan","Ukraine","Uzbekistan","F. USSR","Argentina","Brazil","Chile","Colombia","Mexico","Peru","Uruguay","Venezuela","8 L. America","Bolivia","Costa Rica","Cuba","Dominican Rep.","Ecuador","El Salvador","Guatemala","Haïti","Honduras","Jamaica","Nicaragua","Panama","Paraguay","Puerto Rico","T. & Tobago","15 L. America","21 Caribbean","L. America","China","India","Indonesia (& Timor until '99)","Japan","Philippines","S. Korea","Thailand","Taiwan","Bangladesh","Burma","Hong Kong","Malaysia","Nepal","Pakistan","Singapore","Sri Lanka","16 E. Asia","Afghanistan","Cambodia","Laos","Mongolia","North Korea","Vietnam","24 Sm. E. Asia","30 E. Asia","Bahrain","Iran","Iraq","Israel","Jordan","Kuwait","Lebanon","Oman","Qatar","Saudi Arabia","Syria","Turkey","UAE","Yemen","W. Bank & Gaza","15 W. Asia","Asia","Algeria","Angola","Benin","Botswana","Burkina Faso","Burundi","Cameroon","Cape Verde","Centr. Afr. Rep.","Chad","Comoro Islands","Congo 'Brazzaville'","Côte d'Ivoire","Djibouti","Egypt","Equatorial Guinea","Eritrea & Ethiopia","Gabon","Gambia","Ghana","Guinea","Guinea Bissau","Kenya","Lesotho","Liberia","Libya","Madagascar","Malawi","Mali","Mauritania","Mauritius","Morocco","Mozambique","Namibia","Niger","Nigeria","Rwanda","S. Tomé & P.","Senegal","Seychelles","Sierra Leone","Somalia","South Africa","Sudan","Swaziland","Tanzania","Togo","Tunisia","Uganda","Zaire (Congo-Kinshasa)","Zambia","Zimbabwe","3 Small Afr.","Total Africa","...182","World Total"
1982,105750,142665,79650,65090,842787,1099799,749233,204517,62319.6893324324,125508,120051,729861,4327230.68933243,30698,86895,81634,352979,21886,4901322.68933243,218512,41809,397671,4254870,4912862,6596.19990059198,56644.0784766301,123511.725293132,70476.8352565676,191579.208476161,91034.5806916427,134359.371905274,674202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1767262,212518,614538,57837.013597446,116938,466649,77183,17724,146150,1709537.01359745,13508,10266,28292,14324,34421,9324,25858,6191,7078,7237,6312,10939,11058,25734,13271,223813,16243,1949593.01359745,1186387,697705,283922,1667653,129648,179220,134020,102857,50487,30499,59662,57102,10749,114852,25601,30788,4761152,10726,6218,3066,2064,50138,45526,15296.4968113314,133034.496811331,1668.52759148135,175826,68500.9486734049,43948.4715754273,10897.0839809854,13006.4799107143,9680.21618685497,6245.21143856673,4730.55925494761,144989.060029806,63856.7898361434,198495,26144.5289373394,22563.238365859,4176,794728.11578153,5688914.61259286,64661.9093893631,6050,4565.79423728814,1864.97231896026,4925.56259612427,2864.79337574029,13146.8528138528,278.986527862829,1789.53506620893,1640,235.266365688488,5072.22136563877,18187.7793983592,512.894513334466,101531.15727003,403,25940.1666666667,4684.80758184951,778.774238227147,11879.3568058076,2546.42487538571,745.431732776618,18613.9624542125,1413.65498857578,2134,17502,8212.5429389313,3783.28662646328,4511.88842398884,1585.67868098159,4700.71969934231,47203,14629.244098443,4164.31092801388,4934.87294117647,89006.6861915367,5646.04661293836,173,8388.3956043956,259.85559566787,4018.60663507109,6716,134619.194859813,20420.8247078464,1655.95375615192,11236.2582524272,2453.19784172662,19914.9670770112,7979.71906354515,17680.098564222,5353.81322140609,10726,255,754198.466903053,NA,20648354.7824258
1983,108716,142648,81656,66849,852644,1119394,758360,208014,64551.2664811872,127742,120659,755779,4407012.26648119,30624,87244,81492,361902,22385,4990659.26648119,218539,42955,409246,4433129,5103869,6771.25639459433,55574.1028563185,125371.340033501,69753.1524674687,201054.90807105,90224.8703170029,135576.369860065,684326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1823723,220016,593575,56216.3996064039,118806,446602,66818,16688,140665,1659386.3996064,12905,10551,29104,14959,33702,9386,25193,6238,7030,7405,6609,11013,10724,25855,12231,222905,16462,1898753.3996064,1287034,753942,295296,1706380,132115,199828,141504,111545,52961,31827,63055,60588,10433,122649,27695,32366,5029218,11157,6660,3161,2184,50905,48042,15734.430260221,137843.430260221,1785.01517825627,199031,62544.3444409349,45495.6722813971,11114.5776050706,14039.1383928571,9584.14285714286,7287.90663097636,4246.21466821886,129404.393561848,64765.9031109,205811,24832.7831250554,23855.5614264503,4465,808262.653279108,5975324.08353933,68011.5128036769,5851,4366.41457627119,2158.97583743223,4869.51953245155,2954.13204650143,14068.3458646617,305.515921616656,1680.66601275135,1897,243.976862302483,5326.67400881057,17479.2032816773,519.286563614744,109342.729970326,418,27261.5833333333,4755.8874210224,684.662049861496,11338.5756805808,2577.79444576311,684.92860125261,18729.4534493284,1292.10853008378,2119,17311,8278.45419847328,3944.84072366087,4710.69456066946,1663.11988752556,4718.69339179455,46930,13580.755901557,4057.14852558543,4844.04705882353,82999.5126948775,5983.58200827706,158,8602.1978021978,255.388344507478,3961.08056872038,6098,132172.199766355,20843.7803005008,1664.35453616863,11185.8262135922,2320.01079136691,20847.9911251074,8571.37123745819,17927.4807916182,5249.20041972718,10896,269,758980.677641885,NA,21235635.4272688
1984,109077,146180,85241,68866,865172,1150951,777841,214854,68364.1461452895,131758,124311,774665,4517280.14614529,31957,89645,79961,367170,23512,5109525.14614529,233618,45072,432711,4755958,5467359,6950.64969112561,57412.4502308136,128313.417085427,71578.8067763319,208526.132751636,93810.7305475504,138681.812917115,705274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1847190,224491,625438,59525.0400710027,123037,462678,69878,16505,142664,1724216.040071,13034,11379,30146,14999,35081,9595,25321,6256,7312,7343,6474,10963,11061,27747,12967,229678,16686,1970580.040071,1447262,783042,315677,1773223,122440,217167,149644,123368,55833,33397,69340,65290,11441,127518,30006,33951,5358599,11336,7106,3258,2314,51695,52355,15971.1953783165,144035.195378317,1860.41793152136,202379,62699.2443145925,45905.1188382462,12071.362861239,14774.9598214286,9786.22813688213,8506.87058729991,4143.24377182771,129258.018241431,62131.1581572073,217637,25892.5743153417,24778.2934688643,4769,826592.490445881,6329226.6858242,71773.7485226526,5881,4712.61016949153,2400.02872222023,4948.39495539834,2950.72866856767,15170.2023239918,317.101959583588,1803.14369789112,1937,251.525959367946,5667.26431718062,16901.6244302644,521.447256667233,116016.320474777,528,26697.6666666667,4945.86444572085,665.37811634349,12319.1128856624,2650.72869689058,712.942379958246,19056.0141941392,1401.52614876872,2100,15939,7975.26240458015,4122.82405108194,4917.92468619247,1542.75945807771,4940.36893203884,48894,13212.3681567052,4006.07111882047,4024.59576470588,79289.9035634744,5730.09692877369,145,8204.65934065934,265.266632284683,4014.49763033175,6306,138892.820093458,19799.6086811352,1698.35769337914,11464.8834951456,2389.29496402878,22039.7529344403,7843.1839464883,18924.7403958091,5230.64008394544,10688,285,775116.255947761,NA,22204271.1279882
1985,111525,147650,88897,71184,877305,1176131,799697,221470,71918.5606643559,134009,128561,802000,4630347.56066436,32943,92442,82206,374627,24313,5236878.56066436,245444,45420,456107,4940383,5687354,7133.47155213298,55681.8185227928,129312.613065327,69818.9418119322,210712.832658149,93656.5,139884.822389666,706201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863687,209641,675090,60696.659684455,127076,475505,71239,16746,144843,1780836.65968446,12943,11475,30694,14620,36570,9819,25167,6269,7640,7003,6204,11480,11501,28319,12436,232140,16912,2029888.65968446,1596691,814344,323451,1851315,113493,231386,156598,129478,57519,34349,69639,64617,12146,138632,29451,35381,5658490,11299,7554,3359,2446,52505,55481,16638.7739083859,149282.773908386,1854.3760442405,207245,61713.5178458623,47488.5537527867,12493.2818229835,14147.8392857143,10028.0678978816,9696.91307113325,3698.56204889406,120604.653710879,65927.5478508668,228744,25286.9793494638,24577.9985048931,5094,838601.291185599,6646374.06509398,75511.7117531188,5911,5067.86847457627,2577.03084048397,5596.00369117195,3295.32068436061,16527.8468899522,344.750459277404,1826.47278077489,2361,259.075056433409,5411.82158590308,17732.2661804922,521.447256667233,123673.590504451,455,24913.3333333333,4846.3526708788,608.84487534626,12943.091107078,2713.46783764538,752.227974947808,19876.3985042735,1450.29956841838,2071,14529,8155.41984732824,4445.93224547712,5029.12133891213,1586.61170756646,5285.46382712183,51955,12022.1923656454,4023.09692107546,4095.23811764706,86302.2614699332,5982.24787627968,157,8515.34065934066,290.497163486333,3903.55450236967,6816,137238.513551402,18557.1766277129,1804.16751787538,11437.986407767,2501.62949640288,23278.557973089,7998.68227424749,19009.7780364765,5316.6925498426,11430,301,799215.384506584,NA,22969598.6699494
1986,114135,149854,92135,72873,898129,1202151,822404,227570,74507.3623132971,137620,130653,837280,4759311.3623133,32802,93941,85610,386998,25556,5384218.3623133,250539,46372,468055,5110480,5875446,7321.4205919106,57153.9326312752,131699.581239531,71216.9653817825,217394.415705827,95256.6419308357,145690.042518837,725733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1940363,224985,729252,64093.3825744557,134844,457655,78348,18231,152244,1859652.38257446,12530,12107,30714,15057,37648,9926,25199,6261,7710,7119,6077,11857,11486,30630,12028,236349,17142,2113143.38257446,1703670,848990,342452,1904918,117371,258122,165264,144552,60011,33986,77122,65434,12664,147421,29975,37163,5949115,12161,7998,3463,2675,53331,57056,17444.8750097486,154128.875009749,1897.15260618896,187780,61072.7956411876,49760.4386301709,13626.488945899,15351.9107142857,9580.82998370451,9906.06098272024,3129.55250291036,113260.056751118,62669.8919496557,244752,19919.1030754232,25114.7644256885,5446,823267.046208952,6926510.9212187,74747.1283650689,5379,5182.0586440678,2773.08318673033,6474.01168871117,3421.24566790963,17721.5247208931,354.822412737293,1858.55026974007,2264,265.794582392777,5043.50881057269,18262.2096627165,521.447256667233,126933.234421365,474,26529.3333333333,4603.38885697875,641.149584487535,13620.5531760436,2781.69665321624,746.592066805845,21302.1149267399,1479.20233561818,2131,13265,8212.5429389313,4463.27421071302,5347.54811715481,1675.71574642127,5817.48512370811,56023,12199.3018583626,4147.28512575889,4282.94494117647,87929.7028953229,6309.11021563929,159,8926.24175824176,296.600309437854,3766.58767772512,7056,137307.442990654,19290.7402337229,1872.37385086823,11811.1834951456,2579.6582733813,22917.8932150014,8025.23076923077,19906.5386107877,5353.81322140609,11732,318,816502.866201588,NA,23781917.532308
1987,116053,153392,92406,75861,920822,1220284,847870,230788,76038.6318790703,141968,131614,877143,4884239.63187907,34331,93507,91073,409027,26754,5538931.63187907,262925,46564,487138,5290129,6086756,7513.80609682691,57261.6482977496,132365.711892797,72318.9369015468,214478.815830477,93251.6448126801,143997.436167923,721188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1965457,230797,753685,68311.2387630753,142086,466148,85018,19676,157698,1923419.23876308,12858,12683,30468,16189,35288,10193,26094,6214,8167,7668,6035,12150,11988,32136,11473,239604,17374,2180397.23876308,1883027,886154,359323,1984142,122432,287854,180996,167970,62521,32624,87099,68898,13164,155994,32817,37529,6362544,10064,7839,3570,2768,54172,59127,18063.1624783371,155603.162478337,1935.09565831274,184939,62811.8987681617,53344.0018578152,13997.0682109711,14733.1517857143,6705.25583921782,10698.5093289516,3192.09778812573,118495.127034277,63865.2075516504,266108,20630.9031286006,26134.8306785435,5834,853424.147630342,7371571.31010868,74225.2698621142,5985,5104.1193220339,3016.98610562596,6364.00123039065,3562.48585216056,16839.3836864889,379.837721984078,1811.89210397254,2208,276.910835214447,5079.15198237885,17970.4430264357,521.447256667233,130135.014836795,502,29020.6666666667,4005.02584721424,675.761772853186,14274.244646098,2870.3156895324,735.486012526096,22568.5334249084,1554.55597867479,2189,12842,8392.70038167939,4571.88967719049,5448.6359832636,1727.49872188139,6408.22048230504,54762,12638.5334003014,4268.46877710321,4129.55011764706,87283.5129175946,6261.08146373339,156,9290.37362637363,311.449200618876,3965.18957345972,7409,140099.085280374,19720.3045075125,2031.38861547033,12413.0058252427,2615.98201438849,24450.7184368738,8533.44481605351,20439.9565386108,5497.23399790137,11588,337,829467.758216315,NA,24693768.9389671
1988,119730,160632,93482,79581,961287,1260983,880671,236824,76005.8914235885,145926,135709,920841,5071671.89142359,36123,97670,97894,431389,28385,5763132.89142359,274737,46435,510815,5512845,6344832,7712.64721300965,56902.5960761685,135307.788944724,73420.9084213111,219216.665627921,93020.2989913545,141983.094725511,727564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007280,226438,751910,73289.658556611,147896,471953,78003,19676,166879,1936044.65855661,13348,13114,31022,16300,39060,10384,27110,6263,8571,7889,5367,10256,12764,34228,11027,246703,17611,2200358.65855661,2016024,978822,379917,2107060,130699,320301,205047,175747,64329,28921,94083,74982,14199,166031,36491,38520,6831173,9228,8035,3681,2909,55033,62685,18715.3342981534,160286.334298153,2003.48982233204,174532,49539.7959570436,54416.5344315085,13853.3170602882,15247.390625,6099,11018.4721456589,3240.15087310827,122283.664739195,72341.8470672049,276460,20580.0602676593,27249.2272181548,6265,855129.950207154,7846589.28450531,72671.8305975049,6843,5258.18542372881,3492.04179083043,6893.29683174408,3693.51590261022,16072.0193665983,391.884568279241,1844.94163805787,2551,289.105530474041,5089.05286343612,17645.9270738377,521.447256667233,135593.471810089,538,29584.5833333333,4086.44457208501,747.128808864266,15076.5023593466,3042.84832660812,764.825887265136,23926.5482295482,1753.77862401625,2189,12927,8524.52290076336,4689.63249379212,5440.2119944212,1791.87755623722,6844.38208581272,60367,13361.1401305876,4367.61903729402,4361.66070588235,95947.2452115813,6046.28621215421,159,9764.74725274725,324.536358947911,4072.02369668246,7359,145854.693457944,19951.6083472454,1984.38425109109,12937.4990291262,2733.02517985612,24478.1603206413,9147.85284280936,20555.9169577028,5841.44386149003,12672,356,863420.850679735,NA,25753177.6851652
1989,124791,166396,93728,84092,1000286,1302212,906053,247906,76732.7910197079,150411,141599,940908,5235114.79101971,38223,101425,102922,454166,30000,5961850.79101971,286820,46850,523177,5703521,6560368,7916.86351569346,55882.8877668783,136418,71776.1748097226,215815.132440012,90051.3609510087,140178.580516685,718039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2037253,212373,776547,81061.94280141,152686,491767,68466,19930,152577,1955407.94280141,13735,13867,31128,18377,39123,10491,28179,6329,8894,8428,5296,10215,13509,35919,10937,254427,17851,2227685.94280141,2051813,1043912,414090,2208858,138809,340751,230043,190217,65948,29989,96478,81996,14525,174001,39857,39543,7160830,9284,8233,3795,3031,55934,65615,19388.5793525901,165280.57935259,2053.2749735263,181227,45160.354074542,54894.8259846421,12386.8686335169,16388.75,6105.6257468767,11481.215705502,3275.23725261932,126700.755290611,65860.2061268107,279614,22766.3032881326,28202.5032839843,6706,855129.950207154,8181240.52955974,75123.3519369665,6959,5143.99525423729,3943.99719958353,6814.42140879729,3747.1191050669,14632.3914331283,413.476729944887,1912.98479646886,2698,289.603273137698,5277.16960352423,17541.7247037375,525.678613895023,139663.204747774,560,30064.3333333333,4260.91326823665,799.376731301939,15843.1041742287,3168.32660811773,768.638413361169,25017.739010989,1946.80781924346,2216,13014,8867.26145038168,4923.29265697056,5994.51046025105,1852.05777096115,7145.14187284685,61748,13899.552988448,4738.18061578491,4367.71576470588,102145.882405345,6167.69222391636,162,9597.71428571429,342.971634863332,4163.79146919431,7349,148887.588785047,21517.8657762938,2110.59596991364,13371.2145631068,2833.92446043166,25383.7424849699,9815.35785953177,20416.7644547924,5900.49947534103,13498,376,889921.677593886,NA,26576358.9409747
1990,130476,171442,94863,84103,1026491,1264438,925654,258094,78333,152188,146900,944610,5277592,41459,101452,107427,474366,31205,6033501,291180,46729,524475,5803200,6665584,8125,49779,132560,66990,194920,80277,129953,662604,16530,33139,7394,21624,51266,129953,91706,40854,132560,20483,33397,73389,16980,41325,122295,15787,26413,32010,27112,1151040,15884,13300,311112,87468,1987995,212518,743765,84037.9981758687,159042,516692,64979,20105,160648,1961786.99817587,14446,14370,31087,17503,40267,10805,29050,6323,8898,8890,5297,10688,13923,37277,11110,259934,18094,2239814.99817587,2123852,1098100,450901,2321153,143025,373150,255732,200477,70320,30834,99770,89823,15609,182014,43330,42089,7540179,8861,8235,3912,2954,56874,68959,19439.1149524919,169234.114952492,2054,199819,44583,58511,12371,13111,6099,11487,3276,144438,70894,305395,25496,28212,7222,932968,8642381.11495249,73934,7202,5347,4178,6748,3879,14393,430,1982,2537,294,5394,16330,530,143000,576,29593,4500,833,16372,3304,794,26093,2033,2245,12780,9210,5146,6040,1825,7652,64082,14105,4619,4289,107459,6125,166,10032,366,4335,7231,147509,19793,2154,13852,2805,27387,10206,19922,6432,13766,395,902204,NA,27134084.1131284
1991,135168.90201625,174584.659237085,96096.6011235961,78731.0476252163,1038922.02702113,1331699.55024566,938522.070166415,263955.295038168,81165.7106348271,150263,145681.895540698,931716.307221539,5366507.06587058,42258.9978309585,104597.051508849,112119.525087371,486443.344558218,32342,6144267.98485598,291916.472881853,46112.652890914,513291.920130343,5791930.8518781,6643251.89778121,5850,45597.564,115943.71831655,59019.3394834601,181245.228900681,69921.267,112710.851,590287.968700691,14610,26146.671,6935.572,19699.464,45319.144,112710.851,81054.4023165496,34889.316,115943.71831655,18086.489,33163.221,72361.554,15282,32605.425,108842.55,14539.827,23084.962,30185.43,22367.4,1093488,14533.86,12674.9,284045.256,87030.66,1862291.534,233770,751203,90734.5380739383,161587,538508,66603,20687,177516,2040608.53807394,15226,14686,27481,17643,42280,11108,30125,6329,9138,8917,5281,11650,14271,38136,11499,263770,18545,2322923.53807394,2263794,1112340,474421,2398927.76948691,142191,407581.719472545,277618,215619.723414206,72668.2405489707,30633.8776191566,105395.396229972,98397.0251941459,16603,191942.036363636,46259.2169487535,44025.102424584,7898417.10770288,8932,8860,4031,2681,57846,72964.8172738846,20296.3445519436,175611.161825828,2148.484,220999,16540.293,61848.1706093634,12655.533,7735.49,8428.818,12176.22,3262.896,156570.792,75927.474,308224.392854739,25546.992,28296.636,7853,948214.191464102,9022242.46099281,73046.792,7252,5598.309,4378.55240010053,7422.8,4072.95,13846.066,421,1970.108,2800.848,278.124,5523.456,16330,532.65,138424,603,28202.129,4774.5,851.326,17239.716,3383.296,834.494,26458.302,2116.353,2281,12013,8629.77,5593.702,5985.64,1872.45,8141.728,68503.658,14796.145,4882.283,4396.225,113906.54,5861.625,166,9991.872,375.882,3988.2,6505,146033.91,21178.51,2207.85,14142.892,2785.365,28455.093,10308.06,18248.552,6432,14523.13,401,908967.853400101,NA,27494233.2378047
1992,138360.82535804,177256.947721401,97994.9366719583,75731.0655297808,1059124.65927635,1361341.40996293,945660.153887494,269301.655829285,83844.218320528,147330,145721.052541612,933534.840486242,5435201.76558563,43671.8147712312,105329.226140959,113341.053065501,490963.467501237,33161,6221668.32706455,302570.7393829,46620.9520841714,517778.760552064,5985151.50106308,6852121.95308221,5428.8,42268.941828,113300.226643676,57210.8808953341,185803.511598493,63768.195504,91391.431045,559171.987514503,10535,23087.510493,6477.824248,18615.99348,32675.102824,91391.431045,80643.8268676755,32656.399776,113300.226643676,10526.336598,25668.333054,65414.844816,13127.238,17965.589175,103073.89485,12533.330874,15674.689198,23755.93341,15880.854,934932.24,9839.42322,10773.665,255924.775656,77370.25674,1592461.404591,254575,748949,101873.655000769,167889,558049,66004,22218,189942,2109499.65500077,15485,15729,23689,18772,43549,11918,31601,5456,9668,9140,5323,12605,14514,39877,11372,268698,19007,2397204.65500077,2483921,1169301,526321,2422244.79036691,142668,429744.294973087,300059,231766.492214752,76330.1008109794,33592.9526636755,112335.748120183,107139.716957453,17285,205962.220430289,49354.9176378965,45917.9734312367,8353944.20760646,9021,9482,4245,2426,53391,79312.6738148642,21191.2968715332,179068.970686397,2316.065752,234472,21370.058556,66051.338803567,14806.97361,13722.75926,8808.11481,13211.1987,3566.345328,160954.774176,81318.324654,326669.623308573,26236.760784,29683.171164,8555,1011742.50890614,9544755.687199,74215.540672,7180,5822.24136,4509.90897210354,7608.37,4101.46065,13416.837954,413,1844.021088,2868.068352,301.76454,5667.065856,16297.34,531.5847,142991.992,668,26763.820421,4616.9415,888.784344,17912.064924,3501.71136,843.673434,26246.635584,2213.705238,2321,11508,8733.32724,5185.361754,6488.43376,1904.28165,8532.530944,65763.51168,13597.657255,5346.099885,4110.470375,116868.11004,6248.49225,167,10211.693184,401.817858,3605.3328,5536,142967.19789,22279.79252,2236.55205,14227.749352,2673.9504,30674.590254,10627.60986,16332.45404,6322.656,13216.0483,405,909917.254290104,NA,28077301.2687421
1993,138821.818011047,175551.960839776,97907.1110147629,74790.2151138582,1048641.28897023,1350420.72480394,937302.939935467,271352.437439278,86129.2410286886,144709,145386.766321382,955304.893285836,5426318.39676426,44847.699678042,103643.90052035,111025.221784102,485899.182992455,34633,6206367.40173921,314360.360387046,49627.3341728497,529920.697182039,6146209.83699504,7040118.22873697,5949.9648,41634.90770058,113971.050484521,56881.2838078593,192749.420355803,64724.71843656,76267.909534608,552179.255119932,7287,21240.50965356,5991.9874294,19137.24129744,22611.171154208,76267.909534608,80693.7477894524,33277.3026950688,113971.050484521,9600.018977376,19738.948118526,60443.316609984,12011.42277,12701.671546725,93591.0965238,10590.66458853,13887.774629428,19907.47219758,15690.283752,853593.13512,8235.59723514,10935.269975,219583.457512848,75590.74083498,1436100.87039192,269341,782652,109003.835244421,175444,568934,69766,22907,189182,2187229.83524442,16135,16641,19898,19148,44507,12681,32865,5336,10355,9304,5302,13273,15094,41729,11236,273504,19481,2480214.83524442,2724344,1238272,564053,2428241.99172596,145704,453343.721890245,325215,248022.651174121,79821.7542108546,35621.967838916,119466.241682518,117741.131264331,17950,209583.688605779,55403.8829271827,49086.4299163712,8811871.46123628,8741,9870,4674,2354,53552,85719.5777536979,22125.015049713,187035.592803411,2508.299209416,239395,21370.058556,68297.8597349517,15665.77807938,18415.94292692,9424.6828467,14017.0818207,3552.079946688,159989.045530944,89938.067067324,352940.366988648,26000.629936944,30543.983127756,9308,1061366.87577237,10060273.9298121,72582.798777216,5241,6026.0198076,4600.10715154561,7547.50304,3859.47447165,12987.499139472,434.48101968,1849.553151264,2816.443121664,310.8174762,5610.39519744,16264.74532,510.8528967,145279.863872,710,30350.172357414,4727.748096,943.000188984,18807.6681702,3673.29521664,861.390576114,26351.622126336,2295.612331806,2374,10979,8916.72711204,5688,6332.71134976,2009.01714075,9104.210517248,65105.8765632,14780.653436185,5239.1778873,4168.01696025,119439.20846088,5729.86739325,169,9987.035933952,427.93601877,3608.9381328,5536,144682.80426468,22903.62671056,2310.35826765,14398.482344224,2235.4225344,31349.431239588,11520.32908824,14127.5727446,6752.596608,13387.8569279,414,918319.921142153,NA,28693574.4421867
1994,142515.743044205,181216.972528873,103316.885325683,77733.3882098211,1070472.68081956,1386302.97604064,957993.483567584,277719.470757573,90656.3933698965,149857,146937.273698265,997587.175849181,5582309.44321128,47429.0753902139,105716.854186,112096.426659371,497479.176637185,35838,6380868.97608405,327595.432991104,52253.609510779,555411.201643979,6395858.48334515,7331118.72749101,6443.8118784,42384.3360391904,117827.07244575,58557.6634414075,202951.256324996,67248.9824555858,79189.7968980584,574602.919483389,7484,22493.69972312,5884.1316556708,20151.5150862043,23176.4504330632,79189.7968980584,82484.7378427322,35342.3346030177,117827.07244575,10118.4200021543,15850.3753391764,53371.4485666159,11819.24000568,11380.6977058656,81798.6183618012,8461.94100623547,14193.3056712754,17956.5399222172,10841.986072632,745186.80695976,6481.41502405518,9043.468269325,169298.845742406,71660.022311561,1237463.13096076,291696,831176,117598.683060661,186496,594054,79254,24166,182183,2306623.68306066,16910,17357,20296,19971,46465,13442,34212,4893,10158,9481,5514,13685,15547,43475,11708,283114,19966,2609703.68306066,2997060,1328047,606949,2454919.43932247,152115,490744.863006111,354484,265650.093910163,83082.2245789145,38285.8286294133,126016.061628522,128587.493503307,19425,217416.701982704,61721.9689025329,51835.3568979231,9376340.03236206,8479,10258,4964,2408,39468,93291.7533492968,23064.1843478261,181932.937697123,2502,244901,20306,74172,16445,19970,10178.657474436,14556,3635,160811,96821,333685.096098011,28228,31205,10189,1067604.75357245,10625877.7236316,71929,5310,6291.1646791344,4761,7653.97008391098,3715.90568181818,12662,463,1972,2971,294.3441499614,5301,16590.0402264,506,151052.483764939,746,30835.144484286,4903,978.834196165392,19429,3820.2270253056,888.955074549648,27064,2286.56892778993,2426,10836,8916.72711204,5102,6498,2101.4319292245,9505,71876.8877257728,15890,5595,4334.73763866,118700,2854,173,10276.6599760366,418,3735.250967448,5701,149312.65400115,23362,2389,14628,2626,32352,12257,13576.8304012878,5855,14165,427,938314.81804588,NA,29697949.9787574
1995,145237.658127278,185538.557368529,106483.778886051,80411.9714452268,1095671.86469332,1412512.62042223,986004.013776983,286142.838026992,94606.5911960071,155285,147494.535105064,1026043.72329448,5721433.15234216,51998.5709006668,107936.600038943,116897.233266364,511197.151142459,36899,6546361.7076906,341575.195833834,54413.4905799348,570868.2258012,6558150.66761162,7525007.57982659,7300.8388582272,43613.481784327,124789.906472957,59429.8945485947,217060.158751978,72024,83343.6186259694,607561.899042053,7933,24023.2713042922,5819.40620745842,20977.7272047387,24590.2139094801,83343.6186259694,87382.3432429342,37407.5632300232,124789.906472957,10816.590982303,13980.0310491536,47820.8179156878,12351.1058059356,11676.5958462181,75091.1316561335,8004.99619189875,14065.5659202339,18890.2799981725,10690.1982676151,714634.14787441,5677.71956107234,8392.3385539336,148644.386561832,71015.082110757,1171750.98829536,282653,866086,127482.468321676,196567,557419,86070,23683,192931,2332891.46832168,17705,17739,20986,20870,47859,14275,35923,5138,10534,9642,5762,13945,16247,45453,12188,294266,20464,2647621.46832168,3450084,1425623,656101,2504246.4577471,159264,534517.24334026,387097,282714.958686544,87174.0436057392,40945.9470945791,130912.480972212,141226.467771309,20099,228206.243125923,66684.6978546913,54686.4134855963,10169582.953684,10700,10940,5230,2560,32758,102192.234124939,24074.765399752,188454.999524691,2600,252983,18475,79215,17495,20186,10841,15259,3742,161564,102698,357681.10686975,30459,34594,11234,1119026.10686975,11477064.0600784,74663,5861,6580.55825437458,4975,7998.63261583364,3445.35672031643,13080.6844457977,499,2075,2983,320,5513.89640004403,17767.9330824744,489,158064.833928397,852,32746.7361843493,5148,945,20206,3999,928.069097829832,28254,2574.61433260394,2492,10804,9069,5954,6952,2198,9837,67133.0131358718,16573,5830,4447.44081726516,121809.360113578,3858,176,10811,420,3361.7258707032,5867,153942,24063,2479,15155.4969519539,2807,33129,13716,13671.8934115212,5708,14193,444,966871.245362914,NA,30942238.9486176
